日期	開盤	最高	最低	收盤	成交量	是否結算日	5MA	10MA	20MA	60MA	120MA	BBAND(22)上軌	BBAND(22)中軌	BBAND(22)下軌	AH	NH	CDP	NL	AL	SAR	9K	9D	DIF(12-26)	MACD(9)	OSC	RSI(5)	RSI(10)	+DI(14)	-DI(14)	ADX(14)
2025-12-11	28414	28699	28059	28101	235455	False	28202.4	27927.2	27500.55	27249.783333333333	25361.708333333332	28679.58412373569	27547.636363636364	26415.688603537037	28644.75	28551.5	28341.75	28248.5	28038.75	27665.268069088812	79.84145352657862	85.39956130230223	226.706633850441	141.14128870453234	85.56534514590865	56.54075651388397	57.22537332781842	25.18833212149368	13.335733007284512	18.486222885600245
2025-12-12	28119	28345	28093	28290	199415	False	28258.4	27982.5	27544.85	27298.833333333332	25418.525	28713.994370311008	27558.136363636364	26402.27835696172	28880.0	28421.0	28240.0	27781.0	27600.0	27872.014455271048	76.01701439023778	82.27204566494741	241.13563129874092	161.14015722337408	79.99547407536684	64.23919241166053	60.492392382497556	24.205927305197182	12.815607725784787	19.36340270889378
2025-12-15	28279	28335	27712	27910	240222	False	28183.6	28032.9	27566.3	27336.916666666668	25468.116666666665	28706.55402652143	27555.045454545456	26403.536882569482	28506.5	28416.0	28254.5	28164.0	28002.5	28699.0	60.71639164250278	75.08682765746588	219.37902666366062	172.7879311114314	46.591095552229234	44.45013130812348	51.675259450843775	21.928843620201302	17.36302415153949	18.810321500352316
2025-12-16	27898	28030	27410	27635	229510	False	28067.2	28040.5	27607.35	27373.6	25513.716666666667	28715.494145285236	27565.545454545456	26415.596763805675	28589.75	28221.5	27966.75	27598.5	27343.75	28673.22	46.296058353858854	65.48990455626354	177.8958859761915	173.80952208438342	4.086363891808077	34.76289029184274	46.254197546578915	19.920467203370546	20.233940660408884	17.522489257650342
2025-12-17	27611	27796	27474	27483	155634	True	27883.8	28012.8	27650.75	27403.116666666665	25558.45	28715.557362236897	27565.636363636364	26415.71536503583	28297.5	27945.0	27677.5	27325.0	27057.5	28622.6912	32.75180719840914	54.577205436978744	131.2421901557973	165.2960556986662	-34.05386554286892	30.21353819103659	43.45453799767458	18.94977337452589	19.24797175055598	16.326645032284222
2025-12-18	27749	27960	27348	27598	304397	False	27783.2	27992.8	27656.45	27435.25	25604.083333333332	28701.084171163606	27601.272727272728	26501.46128338185	27881.0	27644.0	27559.0	27322.0	27237.0	28571.703552000003	28.002808549247842	45.71907314106845	102.36830095000914	152.7105047489348	-50.34220379892565	37.89941831367349	46.192387291700236	19.66149649781746	17.502316366316407	15.575448913941676
2025-12-19	27588	27984	27577	27897	256101	False	27704.6	27981.5	27727.5	27468.65	25652.025	28672.82278268176	27659.545454545456	26646.26812640915	28238.0	27904.0	27626.0	27292.0	27014.0	28498.281338880002	32.21406086850917	41.217402383548695	102.4315695101468	142.65471770117722	-40.22314819103042	54.26841445460371	52.79519738191995	18.821964794649304	16.434820561701546	14.94654092450826
2025-12-22	27888	28368	27869	28341	199588	False	27790.8	27987.2	27813.85	27503.283333333333	25701.933333333334	28748.716984378847	27698.5	26648.283015621153	28245.75	28100.5	27838.75	27693.5	27431.75	28429.2644585472	45.976410675231136	42.803738480776175	136.73263098022653	141.47030035698708	-4.73766937676055	69.29260652215923	60.74337119855743	23.154471026578452	15.209952463304951	15.3580762750896
2025-12-23	28351	28455	28290	28415	128966	False	27946.8	28007.0	27887.95	27539.633333333335	25752.116666666665	28726.594527940175	27786.636363636364	26846.678199332553	28728.75	28590.5	28229.75	28091.5	27730.75	27348.0	56.97711858980374	47.528198517118696	167.95160927182224	146.76656213995412	21.185047131868117	71.25969970035436	61.930411840978614	23.91902694148366	14.816724278875814	15.939531823279989
2025-12-24	28407	28588	28335	28467	143286	False	28143.6	28013.7	27944.35	27579.166666666668	25800.341666666667	28695.51162370266	27870.863636363636	27046.215649024613	28558.75	28497.5	28393.75	28332.5	28228.75	27372.8	68.06539088782615	54.373929307354516	194.6450924430501	156.34226820057333	38.30282424247676	72.7907190522215	62.80847486672483	25.092056999906276	14.210079385865651	16.778708501739708
